listing_id,property_url,address,suburb,state,postcode,property_type,rent_pw,bond,bedrooms,bathrooms,parking_spaces,bedroom_display,available_date,inspection_times,agency_name,agent_name,cover_image,agent_phone,agent_email,property_headline,property_description,furnishing_status,has_air_conditioning,air_conditioning_type,has_balcony,has_dishwasher,has_laundry,has_built_in_wardrobe,has_gym,has_pool,has_parking,allows_pets,has_security_system,has_storage,has_study_room,has_garden,latitude,longitude,images,property_features,agent_profile_url,agent_logo_url,enquiry_form_action,image_1,image_2,image_3,image_4
17658780,,"2058/185 Broadway, Ultimo NSW 2007",Ultimo,,,Apartment / Unit / Flat,,,1,1,,,,,Denox Global,Zhengkun (Peter) Kang,,0488766188,,,,furnished,TRUE,ducted,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,,,,https://rimh2.domainstatic.com.au/qciuqCjbyP9fVrT0-z2XqvM6nuA=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17658780_1_1_250718_061914-w2048-h1365; https://rimh2.domainstatic.com.au/YNYc7yNlU2lr15sOWH8emie-McM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17658780_2_1_250718_061914-w2048-h1365; https://rimh2.domainstatic.com.au/_tDouwv0PaHuGI8g6zwz9sz12Og=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17658780_3_1_250718_061914-w2048-h1365; https://rimh2.domainstatic.com.au/-6Fl6qzwPrr0PXbjL2RF7eavN-I=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17658780_4_1_250718_061914-w2048-h1365; https://rimh2.domainstatic.com.au/oL4rGurtdxBAFIE4aZwLhhBYeNo=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17658780_5_1_250718_061914-w2048-h1365; https://rimh2.domainstatic.com.au/HSQL6p2kF5ohySP9QsizkWujkMo=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/16304560_6_1_230313_124220-w6000-h4000; https://rimh2.domainstatic.com.au/KTzfHNfA1cPoa7WFGfKM-gLBPPk=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/16304560_6_1_230226_062400-w2995-h2247; https://rimh2.domainstatic.com.au/CR-zBV0peeTYwYpC5FIL-uOPFWE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17658780_8_1_250718_061914-w2048-h1365,,,,,,,,
16481923,,"185-211 Broadway, Ultimo NSW 2007",Ultimo,,,Apartment / Unit / Flat,,,1,1,,,,,Noble Management Group,Archer Rofe,,0435367339,,,,furnished,TRUE,yes,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,,,,https://rimh2.domainstatic.com.au/ovKfQPv-RT83d3lVHEGYPXJEaXQ=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019422252_5_1_241029_034155-w1430-h777; https://rimh2.domainstatic.com.au/1LMEusMMjuEaIUDzHVKzDGg24n4=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019855837_4_1_250313_010712-w2048-h1365; https://rimh2.domainstatic.com.au/hlPMf3RNv-V8b5kdKQJ7tL_dMNc=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019855837_2_1_250313_010712-w2048-h1365; https://rimh2.domainstatic.com.au/bQoiPml5syCf5Z1X5dls3t8vhk0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019595908_2_1_241029_013357-w2048-h1365; https://rimh2.domainstatic.com.au/s0I_vv7gxWun9FiYVofjM9GdE2E=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019645461_1_1_241119_022926-w2048-h1365; https://rimh2.domainstatic.com.au/iBihbhUPYNpnLRf0aO33eYmdCuQ=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019855837_1_1_250312_040931-w2048-h1365; https://rimh2.domainstatic.com.au/DfEixWG21D4TLAiGA-HymNBdPeo=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2019595908_5_1_241029_013357-w2048-h1365,,,,,,,,
